[2026-02-20 11:35:21] | 담당 AI: 전략 잼 | 출처: Barchart | 타겟: 온도 | 분석내용: 온체인 고래 지갑 대규모 이동 포착 | 시스템 신뢰도: 74.8%
[2026-02-20 11:36:31] | 담당 AI: 가디언 잼 | 출처: Aggr.trade | 타겟: 이더리움 | 분석내용: 스마트머니(Smart Money) 매집 구간 진입 | 시스템 신뢰도: 88.0%
[2026-02-20 11:36:34] | 담당 AI: 수집 잼 | 출처: Coinglass | 타겟: 솔라나 | 분석내용: MVRV Z-Score 바닥권 도달 | 시스템 신뢰도: 97.5%
[2026-02-20 11:36:37] | 담당 AI: 수집 잼 | 출처: CoinGecko | 타겟: 이더리움 | 분석내용: RSI/MACD 다이버전스 발생 | 시스템 신뢰도: 93.0%
[2026-02-20 11:36:40] | 담당 AI: 정렬 잼 | 출처: CoinGecko | 타겟: 수이 | 분석내용: RSI/MACD 다이버전스 발생 | 시스템 신뢰도: 75.0%
[2026-02-20 11:36:44] | 담당 AI: 수집 잼 | 출처: Finviz | 타겟: 온도 | 분석내용: CVD(누적 볼륨 델타) 매수세 전환 | 시스템 신뢰도: 71.8%
[2026-02-20 11:36:47] | 담당 AI: 가디언 잼 | 출처: LookIntoBitcoin | 타겟: 제로엑스 | 분석내용: CVD(누적 볼륨 델타) 매수세 전환 | 시스템 신뢰도: 82.6%
[2026-02-20 11:36:49] | 담당 AI: 정렬 잼 | 출처: Messari | 타겟: 리플 | 분석내용: 미결제약정(OI) 급증 경고 | 시스템 신뢰도: 80.4%
[2026-02-20 11:36:54] | 담당 AI: 가디언 잼 | 출처: TensorCharts | 타겟: 솔라나 | 분석내용: 펀딩비(Funding Rate) 과열 해소 | 시스템 신뢰도: 84.1%
[2026-02-20 11:36:56] | 담당 AI: 수집 잼 | 출처: TradingView | 타겟: 리플 | 분석내용: 온체인 고래 지갑 대규모 이동 포착 | 시스템 신뢰도: 82.5%
[2026-02-20 11:37:00] | 담당 AI: 타이밍 잼 | 출처: CoinMarketCap | 타겟: 리플 | 분석내용: 스마트머니(Smart Money) 매집 구간 진입 | 시스템 신뢰도: 98.8%
[2026-02-20 11:37:02] | 담당 AI: 수집 잼 | 출처: ATAS | 타겟: 수이 | 분석내용: 펀딩비(Funding Rate) 과열 해소 | 시스템 신뢰도: 97.8%
[2026-02-20 11:37:04] | 담당 AI: 타이밍 잼 | 출처: AlphaQuery | 타겟: 온도 | 분석내용: 온체인 고래 지갑 대규모 이동 포착 | 시스템 신뢰도: 83.0%
[2026-02-20 11:37:08] | 담당 AI: 정렬 잼 | 출처: Aggr.trade | 타겟: 온도 | 분석내용: 미결제약정(OI) 급증 경고 | 시스템 신뢰도: 88.0%
[2026-02-20 11:37:12] | 담당 AI: 타이밍 잼 | 출처: TradingEconomics | 타겟: 온도 | 분석내용: MVRV Z-Score 바닥권 도달 | 시스템 신뢰도: 95.4%
[2026-02-20 11:37:14] | 담당 AI: 수집 잼 | 출처: GoCharting | 타겟: 온도 | 분석내용: 오더북(호가창) 유동성 스푸핑 감지 | 시스템 신뢰도: 82.6%
[2026-02-20 11:37:17] | 담당 AI: 타이밍 잼 | 출처: StockCharts | 타겟: 제로엑스 | 분석내용: 청산 맵 히트맵 저항선 확인 | 시스템 신뢰도: 78.1%
[2026-02-20 11:37:21] | 담당 AI: 타이밍 잼 | 출처: MarketChameleon | 타겟: 비트코인 | 분석내용: 청산 맵 히트맵 저항선 확인 | 시스템 신뢰도: 81.4%
[2026-02-20 11:37:24] | 담당 AI: 전략 잼 | 출처: Birdeye.so | 타겟: 제로엑스 | 분석내용: 스마트머니(Smart Money) 매집 구간 진입 | 시스템 신뢰도: 70.6%
[2026-02-20 11:37:28] | 담당 AI: 수집 잼 | 출처: ATAS | 타겟: 이더리움 | 분석내용: 미결제약정(OI) 급증 경고 | 시스템 신뢰도: 78.4%
[2026-02-20 11:37:30] | 담당 AI: 타이밍 잼 | 출처: AlphaQuery | 타겟: 제로엑스 | 분석내용: MVRV Z-Score 바닥권 도달 | 시스템 신뢰도: 72.6%
[2026-02-20 11:37:34] | 담당 AI: 행동 잼 | 출처: Bookmap | 타겟: 이더리움 | 분석내용: 청산 맵 히트맵 저항선 확인 | 시스템 신뢰도: 88.7%
[2026-02-20 11:37:39] | 담당 AI: 타이밍 잼 | 출처: Whalemap | 타겟: 솔라나 | 분석내용: 미결제약정(OI) 급증 경고 | 시스템 신뢰도: 91.0%
[2026-02-20 11:37:42] | 담당 AI: 가디언 잼 | 출처: Finviz | 타겟: 솔라나 | 분석내용: 오더북(호가창) 유동성 스푸핑 감지 | 시스템 신뢰도: 71.5%
[2026-02-20 11:37:46] | 담당 AI: 정렬 잼 | 출처: Messari | 타겟: 리플 | 분석내용: 청산 맵 히트맵 저항선 확인 | 시스템 신뢰도: 92.6%
[2026-02-20 11:37:48] | 담당 AI: 수집 잼 | 출처: Exocharts | 타겟: 수이 | 분석내용: 펀딩비(Funding Rate) 과열 해소 | 시스템 신뢰도: 84.9%
[2026-02-20 11:37:52] | 담당 AI: 수집 잼 | 출처: TradingEconomics | 타겟: 이더리움 | 분석내용: 미결제약정(OI) 급증 경고 | 시스템 신뢰도: 91.7%
[2026-02-20 11:37:54] | 담당 AI: 행동 잼 | 출처: TradingView | 타겟: 리플 | 분석내용: 오더북(호가창) 유동성 스푸핑 감지 | 시스템 신뢰도: 74.8%
[2026-02-20 11:37:59] | 담당 AI: 가디언 잼 | 출처: Dropstab | 타겟: 솔라나 | 분석내용: 미결제약정(OI) 급증 경고 | 시스템 신뢰도: 94.7%
[2026-02-20 11:38:01] | 담당 AI: 전략 잼 | 출처: Finviz | 타겟: 제로엑스 | 분석내용: 스마트머니(Smart Money) 매집 구간 진입 | 시스템 신뢰도: 71.3%
[2026-02-20 11:38:04] | 담당 AI: 행동 잼 | 출처: Aggr.trade | 타겟: 비트코인 | 분석내용: 청산 맵 히트맵 저항선 확인 | 시스템 신뢰도: 76.4%
[2026-02-20 11:38:08] | 담당 AI: 전략 잼 | 출처: TensorCharts | 타겟: 수이 | 분석내용: 오더북(호가창) 유동성 스푸핑 감지 | 시스템 신뢰도: 79.8%
[2026-02-20 11:38:11] | 담당 AI: 정렬 잼 | 출처: Exocharts | 타겟: 제로엑스 | 분석내용: 미결제약정(OI) 급증 경고 | 시스템 신뢰도: 79.5%
[2026-02-20 11:38:14] | 담당 AI: 가디언 잼 | 출처: DexScreener | 타겟: 리플 | 분석내용: 펀딩비(Funding Rate) 과열 해소 | 시스템 신뢰도: 88.3%
[2026-02-20 11:38:16] | 담당 AI: 타이밍 잼 | 출처: Coinglass | 타겟: 리플 | 분석내용: 온체인 고래 지갑 대규모 이동 포착 | 시스템 신뢰도: 88.4%
[2026-02-20 11:38:19] | 담당 AI: 전략 잼 | 출처: Coinglass | 타겟: 리플 | 분석내용: MVRV Z-Score 바닥권 도달 | 시스템 신뢰도: 90.4%
[2026-02-20 11:38:24] | 담당 AI: 수집 잼 | 출처: Finviz | 타겟: 이더리움 | 분석내용: CVD(누적 볼륨 델타) 매수세 전환 | 시스템 신뢰도: 73.8%
[2026-02-20 11:38:28] | 담당 AI: 가디언 잼 | 출처: TradingLite | 타겟: 비트코인 | 분석내용: RSI/MACD 다이버전스 발생 | 시스템 신뢰도: 96.9%
[2026-02-20 11:38:30] | 담당 AI: 행동 잼 | 출처: HyblockCapital | 타겟: 온도 | 분석내용: 펀딩비(Funding Rate) 과열 해소 | 시스템 신뢰도: 86.7%
[2026-02-20 11:38:35] | 담당 AI: 가디언 잼 | 출처: Bookmap | 타겟: 제로엑스 | 분석내용: RSI/MACD 다이버전스 발생 | 시스템 신뢰도: 71.2%
[2026-02-20 11:38:37] | 담당 AI: 타이밍 잼 | 출처: TradingEconomics | 타겟: 리플 | 분석내용: 미결제약정(OI) 급증 경고 | 시스템 신뢰도: 91.0%
[2026-02-20 11:38:39] | 담당 AI: 타이밍 잼 | 출처: CoinMarketCap | 타겟: 리플 | 분석내용: CVD(누적 볼륨 델타) 매수세 전환 | 시스템 신뢰도: 94.5%
[2026-02-20 11:38:44] | 담당 AI: 전략 잼 | 출처: MarketChameleon | 타겟: 온도 | 분석내용: 스마트머니(Smart Money) 매집 구간 진입 | 시스템 신뢰도: 94.3%
[2026-02-20 11:38:49] | 담당 AI: 전략 잼 | 출처: Barchart | 타겟: 리플 | 분석내용: 온체인 고래 지갑 대규모 이동 포착 | 시스템 신뢰도: 97.9%
[2026-02-20 11:38:52] | 담당 AI: 가디언 잼 | 출처: Glassnode | 타겟: 이더리움 | 분석내용: 온체인 고래 지갑 대규모 이동 포착 | 시스템 신뢰도: 96.4%
[2026-02-20 11:38:54] | 담당 AI: 가디언 잼 | 출처: Dropstab | 타겟: 비트코인 | 분석내용: CVD(누적 볼륨 델타) 매수세 전환 | 시스템 신뢰도: 99.0%
[2026-02-20 11:38:56] | 담당 AI: 전략 잼 | 출처: Barchart | 타겟: 리플 | 분석내용: 청산 맵 히트맵 저항선 확인 | 시스템 신뢰도: 87.5%
[2026-02-20 11:39:01] | 담당 AI: 행동 잼 | 출처: TrendSpider | 타겟: 제로엑스 | 분석내용: 온체인 고래 지갑 대규모 이동 포착 | 시스템 신뢰도: 76.0%
[2026-02-20 11:39:06] | 담당 AI: 정렬 잼 | 출처: TrendSpider | 타겟: 솔라나 | 분석내용: 오더북(호가창) 유동성 스푸핑 감지 | 시스템 신뢰도: 84.3%
[2026-02-20 11:39:10] | 담당 AI: 가디언 잼 | 출처: TradingView | 타겟: 비트코인 | 분석내용: 오더북(호가창) 유동성 스푸핑 감지 | 시스템 신뢰도: 77.8%
[2026-02-20 11:39:12] | 담당 AI: 타이밍 잼 | 출처: Birdeye.so | 타겟: 제로엑스 | 분석내용: 온체인 고래 지갑 대규모 이동 포착 | 시스템 신뢰도: 87.6%
[2026-02-20 11:39:16] | 담당 AI: 정렬 잼 | 출처: Birdeye.so | 타겟: 솔라나 | 분석내용: 청산 맵 히트맵 저항선 확인 | 시스템 신뢰도: 70.5%
[2026-02-20 11:39:21] | 담당 AI: 타이밍 잼 | 출처: Investing.com | 타겟: 솔라나 | 분석내용: 스마트머니(Smart Money) 매집 구간 진입 | 시스템 신뢰도: 83.5%
[2026-02-20 11:39:23] | 담당 AI: 정렬 잼 | 출처: LookIntoBitcoin | 타겟: 온도 | 분석내용: 미결제약정(OI) 급증 경고 | 시스템 신뢰도: 95.3%
[2026-02-20 11:39:25] | 담당 AI: 정렬 잼 | 출처: CoinGecko | 타겟: 리플 | 분석내용: 오더북(호가창) 유동성 스푸핑 감지 | 시스템 신뢰도: 80.2%
[2026-02-20 11:39:30] | 담당 AI: 가디언 잼 | 출처: Koyfin | 타겟: 리플 | 분석내용: RSI/MACD 다이버전스 발생 | 시스템 신뢰도: 85.5%
[2026-02-20 11:39:32] | 담당 AI: 전략 잼 | 출처: TradingLite | 타겟: 솔라나 | 분석내용: 펀딩비(Funding Rate) 과열 해소 | 시스템 신뢰도: 86.4%
[2026-02-20 11:39:35] | 담당 AI: 타이밍 잼 | 출처: Glassnode | 타겟: 수이 | 분석내용: 스마트머니(Smart Money) 매집 구간 진입 | 시스템 신뢰도: 94.9%
[2026-02-20 11:39:40] | 담당 AI: 타이밍 잼 | 출처: Investing.com | 타겟: 제로엑스 | 분석내용: CVD(누적 볼륨 델타) 매수세 전환 | 시스템 신뢰도: 94.8%
[2026-02-20 11:39:42] | 담당 AI: 타이밍 잼 | 출처: HyblockCapital | 타겟: 수이 | 분석내용: 펀딩비(Funding Rate) 과열 해소 | 시스템 신뢰도: 98.7%
[2026-02-20 11:39:46] | 담당 AI: 전략 잼 | 출처: AlphaQuery | 타겟: 제로엑스 | 분석내용: 스마트머니(Smart Money) 매집 구간 진입 | 시스템 신뢰도: 73.8%
[2026-02-20 11:39:50] | 담당 AI: 수집 잼 | 출처: CoinMarketCap | 타겟: 제로엑스 | 분석내용: MVRV Z-Score 바닥권 도달 | 시스템 신뢰도: 76.3%
[2026-02-20 11:39:53] | 담당 AI: 전략 잼 | 출처: Koyfin | 타겟: 온도 | 분석내용: CVD(누적 볼륨 델타) 매수세 전환 | 시스템 신뢰도: 72.0%
[2026-02-20 11:39:58] | 담당 AI: 가디언 잼 | 출처: TradingView | 타겟: 리플 | 분석내용: 펀딩비(Funding Rate) 과열 해소 | 시스템 신뢰도: 72.7%
[2026-02-20 11:40:00] | 담당 AI: 가디언 잼 | 출처: TensorCharts | 타겟: 수이 | 분석내용: 오더북(호가창) 유동성 스푸핑 감지 | 시스템 신뢰도: 96.7%
[2026-02-20 11:40:02] | 담당 AI: 수집 잼 | 출처: TradingEconomics | 타겟: 비트코인 | 분석내용: 펀딩비(Funding Rate) 과열 해소 | 시스템 신뢰도: 93.5%
[2026-02-20 11:40:06] | 담당 AI: 정렬 잼 | 출처: MarketChameleon | 타겟: 비트코인 | 분석내용: MVRV Z-Score 바닥권 도달 | 시스템 신뢰도: 96.3%
[2026-02-20 11:40:10] | 담당 AI: 가디언 잼 | 출처: Cryptowat.ch | 타겟: 리플 | 분석내용: 스마트머니(Smart Money) 매집 구간 진입 | 시스템 신뢰도: 95.9%
[2026-02-20 11:40:12] | 담당 AI: 수집 잼 | 출처: Finviz | 타겟: 제로엑스 | 분석내용: 미결제약정(OI) 급증 경고 | 시스템 신뢰도: 89.3%
[2026-02-20 11:40:16] | 담당 AI: 정렬 잼 | 출처: Cryptowat.ch | 타겟: 이더리움 | 분석내용: 오더북(호가창) 유동성 스푸핑 감지 | 시스템 신뢰도: 79.6%
[2026-02-20 11:40:19] | 담당 AI: 가디언 잼 | 출처: TradingEconomics | 타겟: 이더리움 | 분석내용: 스마트머니(Smart Money) 매집 구간 진입 | 시스템 신뢰도: 88.6%
[2026-02-20 11:40:23] | 담당 AI: 타이밍 잼 | 출처: CoinMarketCap | 타겟: 비트코인 | 분석내용: 펀딩비(Funding Rate) 과열 해소 | 시스템 신뢰도: 95.7%
[2026-02-20 11:40:26] | 담당 AI: 수집 잼 | 출처: Exocharts | 타겟: 수이 | 분석내용: 스마트머니(Smart Money) 매집 구간 진입 | 시스템 신뢰도: 84.5%
[2026-02-20 11:40:30] | 담당 AI: 전략 잼 | 출처: CoinMarketCap | 타겟: 비트코인 | 분석내용: RSI/MACD 다이버전스 발생 | 시스템 신뢰도: 89.9%
[2026-02-20 11:40:34] | 담당 AI: 정렬 잼 | 출처: Dropstab | 타겟: 리플 | 분석내용: 스마트머니(Smart Money) 매집 구간 진입 | 시스템 신뢰도: 78.0%
[2026-02-20 11:40:36] | 담당 AI: 전략 잼 | 출처: Finviz | 타겟: 리플 | 분석내용: 청산 맵 히트맵 저항선 확인 | 시스템 신뢰도: 79.5%
[2026-02-20 11:40:39] | 담당 AI: 전략 잼 | 출처: Velo.xyz | 타겟: 리플 | 분석내용: 온체인 고래 지갑 대규모 이동 포착 | 시스템 신뢰도: 92.6%
[2026-02-20 11:40:42] | 담당 AI: 타이밍 잼 | 출처: TradingEconomics | 타겟: 솔라나 | 분석내용: 온체인 고래 지갑 대규모 이동 포착 | 시스템 신뢰도: 87.7%
[2026-02-20 11:40:44] | 담당 AI: 수집 잼 | 출처: Aggr.trade | 타겟: 비트코인 | 분석내용: RSI/MACD 다이버전스 발생 | 시스템 신뢰도: 95.0%
[2026-02-20 11:40:47] | 담당 AI: 가디언 잼 | 출처: TrendSpider | 타겟: 리플 | 분석내용: MVRV Z-Score 바닥권 도달 | 시스템 신뢰도: 85.7%
[2026-02-20 11:40:51] | 담당 AI: 정렬 잼 | 출처: Dropstab | 타겟: 이더리움 | 분석내용: RSI/MACD 다이버전스 발생 | 시스템 신뢰도: 85.8%
[2026-02-20 11:40:54] | 담당 AI: 타이밍 잼 | 출처: Aggr.trade | 타겟: 솔라나 | 분석내용: 청산 맵 히트맵 저항선 확인 | 시스템 신뢰도: 96.7%
[2026-02-20 11:40:58] | 담당 AI: 수집 잼 | 출처: HyblockCapital | 타겟: 리플 | 분석내용: 온체인 고래 지갑 대규모 이동 포착 | 시스템 신뢰도: 70.8%
[2026-02-20 11:41:02] | 담당 AI: 정렬 잼 | 출처: AlphaQuery | 타겟: 비트코인 | 분석내용: 미결제약정(OI) 급증 경고 | 시스템 신뢰도: 81.0%
[2026-02-20 11:41:05] | 담당 AI: 타이밍 잼 | 출처: Bookmap | 타겟: 제로엑스 | 분석내용: 청산 맵 히트맵 저항선 확인 | 시스템 신뢰도: 97.4%
[2026-02-20 11:41:08] | 담당 AI: 전략 잼 | 출처: Bookmap | 타겟: 제로엑스 | 분석내용: 미결제약정(OI) 급증 경고 | 시스템 신뢰도: 75.8%
[2026-02-20 11:41:11] | 담당 AI: 타이밍 잼 | 출처: GoCharting | 타겟: 제로엑스 | 분석내용: 미결제약정(OI) 급증 경고 | 시스템 신뢰도: 82.5%
[2026-02-20 11:41:15] | 담당 AI: 전략 잼 | 출처: Bookmap | 타겟: 이더리움 | 분석내용: 온체인 고래 지갑 대규모 이동 포착 | 시스템 신뢰도: 82.1%
[2026-02-20 11:41:18] | 담당 AI: 타이밍 잼 | 출처: Bookmap | 타겟: 솔라나 | 분석내용: RSI/MACD 다이버전스 발생 | 시스템 신뢰도: 77.0%
[2026-02-20 11:41:21] | 담당 AI: 전략 잼 | 출처: HyblockCapital | 타겟: 솔라나 | 분석내용: 펀딩비(Funding Rate) 과열 해소 | 시스템 신뢰도: 74.5%
[2026-02-20 11:41:23] | 담당 AI: 타이밍 잼 | 출처: TrendSpider | 타겟: 이더리움 | 분석내용: MVRV Z-Score 바닥권 도달 | 시스템 신뢰도: 76.5%
[2026-02-20 11:41:27] | 담당 AI: 전략 잼 | 출처: Exocharts | 타겟: 이더리움 | 분석내용: 펀딩비(Funding Rate) 과열 해소 | 시스템 신뢰도: 98.7%
[2026-02-20 11:41:30] | 담당 AI: 타이밍 잼 | 출처: Koyfin | 타겟: 제로엑스 | 분석내용: 청산 맵 히트맵 저항선 확인 | 시스템 신뢰도: 98.9%
[2026-02-20 11:41:33] | 담당 AI: 수집 잼 | 출처: Velo.xyz | 타겟: 온도 | 분석내용: 미결제약정(OI) 급증 경고 | 시스템 신뢰도: 71.8%
[2026-02-20 11:41:36] | 담당 AI: 타이밍 잼 | 출처: Exocharts | 타겟: 비트코인 | 분석내용: 스마트머니(Smart Money) 매집 구간 진입 | 시스템 신뢰도: 76.8%
[2026-02-20 11:41:39] | 담당 AI: 정렬 잼 | 출처: Investing.com | 타겟: 이더리움 | 분석내용: 오더북(호가창) 유동성 스푸핑 감지 | 시스템 신뢰도: 99.1%
[2026-02-20 11:41:44] | 담당 AI: 타이밍 잼 | 출처: Whalemap | 타겟: 온도 | 분석내용: 청산 맵 히트맵 저항선 확인 | 시스템 신뢰도: 73.7%
[2026-02-20 11:41:49] | 담당 AI: 타이밍 잼 | 출처: Bookmap | 타겟: 비트코인 | 분석내용: CVD(누적 볼륨 델타) 매수세 전환 | 시스템 신뢰도: 85.7%
[2026-02-20 11:41:53] | 담당 AI: 타이밍 잼 | 출처: Koyfin | 타겟: 이더리움 | 분석내용: 스마트머니(Smart Money) 매집 구간 진입 | 시스템 신뢰도: 78.9%
[2026-02-20 11:41:57] | 담당 AI: 전략 잼 | 출처: Bookmap | 타겟: 수이 | 분석내용: 미결제약정(OI) 급증 경고 | 시스템 신뢰도: 97.4%
[2026-02-20 11:42:00] | 담당 AI: 정렬 잼 | 출처: TensorCharts | 타겟: 솔라나 | 분석내용: 온체인 고래 지갑 대규모 이동 포착 | 시스템 신뢰도: 97.5%
[2026-02-20 11:42:05] | 담당 AI: 전략 잼 | 출처: LookIntoBitcoin | 타겟: 비트코인 | 분석내용: 미결제약정(OI) 급증 경고 | 시스템 신뢰도: 84.1%
[2026-02-20 11:42:07] | 담당 AI: 정렬 잼 | 출처: TradingView | 타겟: 수이 | 분석내용: 미결제약정(OI) 급증 경고 | 시스템 신뢰도: 86.6%
[2026-02-20 11:42:09] | 담당 AI: 정렬 잼 | 출처: HyblockCapital | 타겟: 리플 | 분석내용: CVD(누적 볼륨 델타) 매수세 전환 | 시스템 신뢰도: 95.5%
[2026-02-20 11:42:13] | 담당 AI: 행동 잼 | 출처: Koyfin | 타겟: 이더리움 | 분석내용: 펀딩비(Funding Rate) 과열 해소 | 시스템 신뢰도: 71.2%
[2026-02-20 11:42:17] | 담당 AI: 가디언 잼 | 출처: TensorCharts | 타겟: 제로엑스 | 분석내용: 미결제약정(OI) 급증 경고 | 시스템 신뢰도: 94.4%
[2026-02-20 11:42:20] | 담당 AI: 행동 잼 | 출처: Messari | 타겟: 솔라나 | 분석내용: RSI/MACD 다이버전스 발생 | 시스템 신뢰도: 80.5%
[2026-02-20 11:42:24] | 담당 AI: 가디언 잼 | 출처: MarketChameleon | 타겟: 수이 | 분석내용: 스마트머니(Smart Money) 매집 구간 진입 | 시스템 신뢰도: 93.9%
[2026-02-20 11:42:27] | 담당 AI: 가디언 잼 | 출처: TensorCharts | 타겟: 리플 | 분석내용: RSI/MACD 다이버전스 발생 | 시스템 신뢰도: 78.6%
[2026-02-20 11:42:30] | 담당 AI: 가디언 잼 | 출처: Whalemap | 타겟: 이더리움 | 분석내용: 오더북(호가창) 유동성 스푸핑 감지 | 시스템 신뢰도: 98.2%
[2026-02-20 11:42:33] | 담당 AI: 행동 잼 | 출처: CoinMarketCap | 타겟: 솔라나 | 분석내용: 미결제약정(OI) 급증 경고 | 시스템 신뢰도: 71.4%
[2026-02-20 11:42:35] | 담당 AI: 수집 잼 | 출처: Messari | 타겟: 수이 | 분석내용: 오더북(호가창) 유동성 스푸핑 감지 | 시스템 신뢰도: 88.6%
[2026-02-20 11:42:39] | 담당 AI: 정렬 잼 | 출처: Finviz | 타겟: 제로엑스 | 분석내용: RSI/MACD 다이버전스 발생 | 시스템 신뢰도: 93.2%
[2026-02-20 11:42:44] | 담당 AI: 가디언 잼 | 출처: AlphaQuery | 타겟: 리플 | 분석내용: 스마트머니(Smart Money) 매집 구간 진입 | 시스템 신뢰도: 95.2%
[2026-02-20 11:42:46] | 담당 AI: 행동 잼 | 출처: TradingLite | 타겟: 수이 | 분석내용: 청산 맵 히트맵 저항선 확인 | 시스템 신뢰도: 85.4%
[2026-02-20 11:42:50] | 담당 AI: 수집 잼 | 출처: Messari | 타겟: 온도 | 분석내용: CVD(누적 볼륨 델타) 매수세 전환 | 시스템 신뢰도: 81.3%
[2026-02-20 11:42:52] | 담당 AI: 행동 잼 | 출처: DexScreener | 타겟: 비트코인 | 분석내용: CVD(누적 볼륨 델타) 매수세 전환 | 시스템 신뢰도: 81.1%
[2026-02-20 11:42:56] | 담당 AI: 수집 잼 | 출처: Exocharts | 타겟: 이더리움 | 분석내용: 오더북(호가창) 유동성 스푸핑 감지 | 시스템 신뢰도: 92.0%
[2026-02-20 11:43:01] | 담당 AI: 타이밍 잼 | 출처: TensorCharts | 타겟: 비트코인 | 분석내용: 오더북(호가창) 유동성 스푸핑 감지 | 시스템 신뢰도: 81.9%
[2026-02-20 11:43:04] | 담당 AI: 전략 잼 | 출처: AlphaQuery | 타겟: 수이 | 분석내용: 스마트머니(Smart Money) 매집 구간 진입 | 시스템 신뢰도: 91.8%
[2026-02-20 11:43:09] | 담당 AI: 정렬 잼 | 출처: AlphaQuery | 타겟: 제로엑스 | 분석내용: 미결제약정(OI) 급증 경고 | 시스템 신뢰도: 70.7%
[2026-02-20 11:43:11] | 담당 AI: 정렬 잼 | 출처: Finviz | 타겟: 비트코인 | 분석내용: 미결제약정(OI) 급증 경고 | 시스템 신뢰도: 95.0%
[2026-02-20 11:43:14] | 담당 AI: 전략 잼 | 출처: Glassnode | 타겟: 온도 | 분석내용: 온체인 고래 지갑 대규모 이동 포착 | 시스템 신뢰도: 71.9%
